instrument_id,jurisdiction_id,title_official,title_en,instrument_type,enactment_date,current_status,official_url,source_verification_tier,translation_status,notes
CN-WPL,CN,野生动物保护法,Wildlife Protection Law,statute,1988-11-08,in_force,http://www.npc.gov.cn/c2/c30834/202212/t20221230_321016.html,verified,project_translation,
CN-PSAPL,CN,治安管理处罚法,Public Security Administration Punishment Law,statute,,in_force,https://www.yantian.gov.cn/YTQSF/gkmlpt/content/12/12895/post_12895355.html,verified,project_translation,
CN-CL341,CN,刑法第三百四十一条,Criminal Law Art. 341 (crimes endangering precious/endangered wildlife),statute,,in_force,,snippet,project_translation,
CN-AEPL,CN,动物防疫法,Animal Epidemic Prevention Law,statute,1997-07-03,in_force,https://amr.guizhou.gov.cn/zwgk/xxgkml/jcxxgk/zcfg/fl/202201/t20220105_72244091.html,verified,project_translation,"Investigated twice (independently, in two separate research rounds) for hidden welfare-relevant content: culling provisions (Art.38(2)) specify no humane method, compensation (Art.85) is a property-value indemnity not a welfare clause, transport rules (Art.27) are disease-prevention-only, and the words 虐待/福利/人道 appear zero times in the statute's 113 articles. This is a confirmed negative finding, not an incomplete entry - this instrument deliberately has zero linked provisions rows. Retained in legal_instruments.csv because the law is real, in force, and its absence of welfare content is itself part of this jurisdiction's patchwork story."
FR-CP521,FR,"Code pénal, art. 521-1 et seq.",Penal Code Art. 521-1 (animal cruelty offences),statute,,in_force,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000044394119,verified,project_translation,
FR-LOI2021,FR,Loi n° 2021-1539 du 30 novembre 2021 visant à lutter contre la maltraitance animale et conforter le lien entre les animaux et les hommes,Law No. 2021-1539 of 30 November 2021 on combating animal mistreatment,statute,2021-11-30,in_force,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000044387560,verified,project_translation,
FR-CC515,FR,"Code civil, art. 515-14",Civil Code Art. 515-14 (animal sentience),statute,2015-02-16,in_force,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000030250342,verified,project_translation,
DE-TSCHG,DE,Tierschutzgesetz (TierSchG),Animal Welfare Act,statute,1972-07-24,in_force,https://www.gesetze-im-internet.de/tierschg/,verified,project_translation,
CH-TSCHG,CH,"Tierschutzgesetz (TSchG) / Loi sur la protection des animaux (LPA), SR 455",Animal Welfare Act,statute,2005-12-16,in_force,"fedlex.admin.ch, SR 455 (exact URL not preserved from original fetch - see sources.csv access_note)",verified,project_translation,"CORRECTED 2026-09-15: an earlier claim of 'no confirmed statutory amendment 2015-2026' was imprecise. Four Act-level (not just ordinance-level) amendments actually occurred: AS 2016 689 (law of 2014-06-20, in force 2017-01-01, continuing-education-related); AS 2017 249 (food-law coordination, in force 2017-05-01); AS 2020 2743 (2020-06-12, Federal Customs Administration reorganization terminology, in force 2022-01-01 - this produced the 'Stand am 1 Januar 2022' text an earlier round found); and a further amendment producing a consolidated version 'Stand am 1 September 2023' (coinciding with Switzerland's total data-protection-law revision, which made omnibus consequential terminology amendments across many federal statutes). NONE of these four touch animal-welfare policy or the penalty chapter (Arts.26-31) substantively - the correction is about completeness of the amendment RECORD, not about any actual change to animal-cruelty law. No further amendment found through September 2026 (absence of evidence, not proof of absence). Separately, the Dec.2024 TSchV (ordinance, not the Act) revision on tail-docking rules (AS 2025 21, in force 2025-02-01) is ordinance-level and does not amend the TSchG itself."
KR-APA,KR,동물보호법,Animal Protection Act,statute,,in_force,https://www.law.go.kr/LSW/lsEfInfoP.do?lsiSeq=241931,verified,official_but_stale,"Original enactment year 1991 confirmed only indirectly (a commentary counting back '31 years' from the 2022 revision); exact enactment date not independently verified. Official English translation (elaw.klri.re.kr) is STALE - reflects Act No.13023 (2015), pre-revision article numbers - do not cite it for current penalties."
KR-DMPA,KR,개 식용 종식을 위한 축산법 등 특별법 (약칭: 개식용종식법),Dog Meat Phase-Out Special Act,statute,2024-02-06,in_force,,snippet,project_translation,"Passed National Assembly 2024-01-09 (208 of 210 present in favor), promulgated 2024-02-06. Precise official-gazette URL not captured this round; corroborated across multiple independent news outlets, tagged snippet not verified."
US-FED-T18S48,US-FED,18 U.S.C. § 48,Animal Crushing,statute,,in_force,https://uscode.house.gov/view.xhtml?req=(title:18+section:48+edition:prelim),verified,not_applicable,
US-FED-PACT,US-FED,"Preventing Animal Cruelty and Torture Act (PACT Act), Pub. L. 116-72",PACT Act 2019,statute,2019-11-25,in_force,govinfo.gov PLAW-116publ72,verified,not_applicable,Amends 18 U.S.C. §48 - expanded the offence from criminalizing only the FILMING/distribution of animal crushing (1999/2010 text) to criminalizing the underlying CONDUCT itself.
US-FED-AWA,US-FED,"Animal Welfare Act, 7 U.S.C. § 2131 et seq.",Animal Welfare Act,statute,1966-08-24,in_force,https://uscode.house.gov/view.xhtml?req=(title:7+section:2131+edition:prelim),verified,not_applicable,"Originally the Laboratory Animal Welfare Act, Pub.L.89-544. Amended 1970/1976/1985/2002/2007-08/2013/2018 - no single clean 'current version' date; enforcement is civil/administrative (USDA APHIS licensing), not criminal."
CA-FED-CC44547,CA-FED,"Criminal Code, R.S.C. 1985, c. C-46, Part XI, ss. 444-447.1",Criminal Code ss.444-447.1 (cruelty to animals),statute,,in_force,https://laws-lois.justice.gc.ca/eng/acts/c-46/,verified,not_applicable,"Consolidated Code; the specific ss.444-447.1 provisions were substantively shaped by amending acts dated 2008, 2018, and 2019 (see amendments.csv) rather than a single clean original enactment date for the current text."
UK-ENG-AWA2006,UK-ENG,Animal Welfare Act 2006,Animal Welfare Act 2006,statute,2006-11-08,in_force,https://www.legislation.gov.uk/ukpga/2006/45/contents,verified,not_applicable,
UK-ENG-AWSA2021,UK-ENG,Animal Welfare (Sentencing) Act 2021,Animal Welfare (Sentencing) Act 2021,statute,2021-04-29,in_force,https://www.legislation.gov.uk/ukpga/2021/21/contents,verified,not_applicable,Amends AWA 2006 s.32 penalty provisions only - does not itself create new offences.
UK-ENG-AWSCA2022,UK-ENG,Animal Welfare (Sentience) Act 2022,Animal Welfare (Sentience) Act 2022,statute,2022-04-28,in_force,https://www.legislation.gov.uk/ukpga/2022/22/contents,verified,not_applicable,"IMPORTANT SCOPE BOUNDARY: this Act establishes the Animal Sentience Committee for POLICY-SCRUTINY purposes only (covers vertebrates plus cephalopod molluscs and decapod crustaceans, s.5). It does NOT amend or extend AWA 2006's criminal-offence scope - cephalopods/decapods are NOT thereby brought within the criminal cruelty offences. No provisions rows are created under this instrument in v1 because it creates no offence or penalty of its own; see UK-ENG-AWA2006-P1 notes for the same boundary stated from the criminal-law side."
TW-APA,TW,動物保護法,Animal Protection Act,statute,1998-11-04,in_force,https://law.moj.gov.tw/LawClass/LawAll.aspx?PCode=M0060027,verified,official_current,"Full amendment history includes 16 dates (2000-2023); the 2023-07-27 entry is purely a ministry-name update (行政院農業委員會->農業部), not substantive - official English translation reflects the 2021-05-19 text, which remains substantively current. Related statute 野生動物保育法 (Wildlife Conservation Act) covers naturally-occurring wild species, distinct from APA's human-reared scope. A widely-circulated 2025-10-15 'amendment' claim (same fine figures, same legislator, same 'first in Asia' framing as the real 2017 event) is a MISDATED ECHO of 2017, not a real event - law.moj.gov.tw's amendment history confirms no amendment occurred in 2024 or 2025. A genuine draft amendment (owner-abandonment penalties, shelter/adoption changes, breeding-permit/sterilization rules, source-traceability, expanded inspector authority) was approved by the Executive Yuan 2026-01-08, pending Legislative Yuan review - NOT yet enacted."
HK-CAP169,HK,防止殘酷對待動物條例 (Cap. 169),Prevention of Cruelty to Animals Ordinance,statute,1935,in_force,,snippet,not_applicable,"Statutory text itself could NOT be directly fetched (elegislation.gov.hk is a JS single-page app returning only a loading shell) - penalty figures and reform-status facts are independently VERIFIED via directly-fetched official LegCo Q&A pages (LCQ9 2025-04-02, LCQ15 2026-02-25) and an AFCD press release, even though the underlying ordinance text itself is snippet-tier only."
MO-L42016,MO,第4/2016號法律 (動物保護法),Law No. 4/2016 (Animal Protection Law),statute,2016-07-04,in_force,,verified,project_translation,"UPGRADED 2026-09-15: primary Portuguese text (Macau's official legal language) obtained via a working proxy+mirror combination (r.jina.ai routed through bo.dsaj.gov.mo, not the still-unreachable bo.io.gov.mo) after repeated prior failures. 45 articles across 5 chapters confirmed. Art.2 defines scope; Art.3 states the general prohibition; Art.25 (criminal tier) and Art.29 (administrative tier) are now separately modeled - see provisions. No amendment to this law found since 2016 (searched, not exhaustively - treat as 'no evidence found', not a confirmed permanent absence). One narrow unresolved point: whether the statute's own text names the enforcement body 'IACM' (pre-2019 name) or 'IAM' (post-restructuring name) could not be confirmed from the fetched extract."
JP-AWMA,JP,動物の愛護及び管理に関する法律,Act on Welfare and Management of Animals,statute,1973-10-01,in_force,https://www.japaneselawtranslation.go.jp/en/laws/view/3798/en,verified,official_but_stale,"Act No.105 of 1973, originally titled 動物の保護及び管理に関する法律, renamed in the 1999 amendment. Official English translation's own version banner states 'Last Version: Act No.68 of 2005' - reflects pre-2012/pre-2019 law, do NOT cite it for current penalties. e-Gov's Japanese-language primary text (laws.e-gov.go.jp) is JS-rendered and could not be fetched as machine-readable text this round - article numbers are corroborated via the NPA's own statistical report and env.go.jp's revision pages instead."
SG-ABA,SG,Animals and Birds Act 1965 (Cap. 7),Animals and Birds Act 1965,statute,1965-10-22,in_force,https://sso.agc.gov.sg/Act/ABA1965,verified,not_applicable,"Cruelty offence sits in the PRIMARY Act (Part IV, ss.41-48), not subsidiary legislation - no 'Animals and Birds (Cruelty to Animals) Rules' exists (a commonly assumed but incorrect instrument name, checked against the full subsidiary-legislation list). Wildlife offences sit in a SEPARATE statute (Wildlife Act 1965, formerly Wild Animals and Birds Act, renamed by the 2020 Amendment Act)."
UK-SCT-AHWA2006,UK-SCT,Animal Health and Welfare (Scotland) Act 2006,Animal Health and Welfare (Scotland) Act 2006,statute,,in_force,https://www.legislation.gov.uk/asp/2006/11/contents,verified,not_applicable,"Duty-of-care + unnecessary-suffering dual structure mirrors England & Wales (AWA 2006). Also covers: ban on animals as prizes, raised minimum purchase age, and abandonment (explicitly RE-AFFIRMED as its own offence, unlike England where abandonment is only implicitly treated as a form of unnecessary suffering)."
