source_id,url,retrieved_date,verification_tier,fetch_method,access_note
SRC-CN-01,https://www.yantian.gov.cn/YTQSF/gkmlpt/content/12/12895/post_12895355.html,2026-09-15,verified,secondary_mirror,flk.npc.gov.cn (the official national law database) returns a JS-only navigation shell to automated fetch tools; this municipal-government mirror republishes the full official text and was cross-checked against a Beijing Daily explainer citing the same article number.
SRC-CN-02,http://www.npc.gov.cn/c2/c30834/202212/t20221230_321016.html,2026-09-15,verified,official_direct_fetch,
SRC-CN-03,https://pmc.ncbi.nlm.nih.gov/articles/PMC13405461/,2026-09-15,verified,official_direct_fetch,"Liu, Su & Nie (2026), Animals 16(14):2119 - peer-reviewed content analysis of 2,706 criminal judgments involving companion animals; confirms no dedicated cruelty offense exists and 16 distinct charge types are used as proxies."
SRC-FR-01,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000044394119,2026-09-15,verified,official_direct_fetch,
SRC-FR-02,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000044387560,2026-09-15,verified,official_direct_fetch,Full text of Loi n°2021-1539.
SRC-FR-03,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000030250342,2026-09-15,verified,official_direct_fetch,
SRC-FR-04,justice.gouv.fr Infos Rapides Justice n°40 (Mai 2026),2026-09-15,verified,official_direct_fetch,"Ten-year (2016-2025) judicial-treatment statistics for animal-mistreatment offences, sourced from the Cassiopée database. Highest-quality enforcement statistics found across all 20 jurisdictions researched - full methodology documented in the bulletin itself."
SRC-DE-01,"https://www.gesetze-im-internet.de/tierschg/ (plus __17.html, __18.html, __20.html, __3.html)",2026-09-15,verified,official_direct_fetch,
SRC-DE-02,Deutscher Bundestag Wissenschaftliche Dienste paper WD 7-3000-049/26 (completed 2026-07-02),2026-09-15,verified,official_direct_fetch,"Source of the 2018-2024 conviction-statistics table and the Hahn/Hoven 2022 empirical study citations. Documents a real statistical artifact: German convention always ranks StGB offences as the 'most serious offence' ahead of TierSchG regardless of actual sentence severity, systematically undercounting true TierSchG violation counts."
SRC-CH-01,"fedlex.admin.ch, SR 455 (exact PDF URL not preserved this session)",2026-09-15,verified,official_direct_fetch,"fedlex.admin.ch's standard HTML rendering is JS-only and blocked automated fetching; the consolidated 18-page PDF ('Stand am 1. Januar 2022') was located and read directly instead, bypassing the JS issue. Re-locate via the SR 455 systematic-number search if the exact URL is needed."
SRC-KR-01,https://www.law.go.kr/LSW/lsEfInfoP.do?lsiSeq=241931 + casenote.kr renderings of Art.2/10/97,2026-09-15,verified,official_direct_fetch,
SRC-KR-02,v.daum.net news report on the 2024 Dog Meat Phase-Out Special Act,2026-09-15,snippet,search_snippet,Precise official-gazette URL not captured this round; passage date (2024-01-09) and promulgation date (2024-02-06) corroborated across multiple independent news outlets.
SRC-USFED-01,uscode.house.gov 18 U.S.C. S48 + govinfo.gov PLAW-116publ72,2026-09-15,verified,official_direct_fetch,
